Group_1,Group_2,Group_3,Group_4,Group_5,Group_6,Group_7,Group_8,Group_9,Group_10,Group_11,Group_12,Group_13,Group_14,Group_15,Group_16,Group_17,Group_18,Group_19,Group_20
233.0:234.0:235.0:236.0:237.0:238.0:239.0:240.0:241.0:242.0:243.0,193.0:194.0:195.0:196.0:197.0:198.0:199.0:200.0:201.0:202.0:203.0,302.0:303.0:304.0:305.0:306.0:307.0:308.0:309.0:310.0:311.0:312.0,388.0:389.0:390.0:391.0:392.0:393.0:394.0:395.0:396.0:397.0,577.0:578.0:579.0:580.0:581.0:582.0:583.0:584.0:585.0:586.0:587.0:588.0:589.0:590.0:591.0,433.0:434.0:435.0:436.0:437.0:438.0:439.0:440.0:441.0:442.0:443.0:444.0,145.0:146.0:147.0:148.0:149.0:150.0:151.0:152.0:153.0:154.0:155.0,414.0:415.0:416.0:417.0:418.0:419.0:420.0:421.0:422.0:423.0:424.0,550.0:551.0:552.0:553.0:554.0:555.0:556.0:557.0:558.0:559.0,390.0:391.0:392.0:393.0:394.0:395.0:396.0:397.0:398.0:399.0:400.0:401.0:402.0,74.0:75.0:76.0:77.0:78.0:79.0:80.0:81.0:82.0:83.0:84.0:85.0:86.0:87.0:88.0,17.0:18.0:19.0:20.0:21.0:22.0:23.0:24.0:25.0:26.0:27.0:28.0:29.0,571.0:572.0:573.0:574.0:575.0:576.0:577.0:578.0:579.0:580.0:581.0,46.0:47.0:48.0:49.0:50.0:51.0:52.0:53.0:54.0:55.0:56.0,231.0:232.0:233.0:234.0:235.0:236.0:237.0:238.0:239.0:240.0,190.0:191.0:192.0:193.0:194.0:195.0:196.0:197.0:198.0:199.0,198.0:199.0:200.0:201.0:202.0:203.0:204.0:205.0:206.0:207.0,432.0:433.0:434.0:435.0:436.0:437.0:438.0:439.0:440.0:441.0:442.0:443.0:444.0,582.0:583.0:584.0:585.0:586.0:587.0:588.0:589.0:590.0:591.0:592.0:593.0:594.0:595.0:596.0,305.0:306.0:307.0:308.0:309.0:310.0:311.0:312.0:313.0:314.0:315.0:316.0:317.0
0.0123446714133024:0.0144594050943851:0.0045602284371852:0.0302447006106376:0.0003448692150413:0.0153163243085145:0.0071055297739803:0.0052035679109394:0.0:-0.008004268631339:0.0019836563151329,0.0462532080709934:0.0312809646129608:0.0:-0.0103254923596978:-0.0166653543710708:-0.0150602664798498:-0.0153913395479321:-0.0001728801871649:0.0:0.0:0.0337986648082733,0.0:-0.0018197835888713:0.004407724365592:0.0:0.0048677623271942:-0.006705064792186:0.008685914799571:0.0:-0.0074313590303063:-0.0149041470140218:0.0020091771148145,0.0563312992453575:0.0:-0.0149253718554973:0.0398493632674217:0.033625915646553:0.0:-0.0388020426034927:0.0:-0.0196538865566253:-0.0178131312131881,0.0:0.0464778020977973:0.0:0.0:-0.0167560148984193:0.0:0.0081135751679539:-0.0299868080765008:-0.0188260190188884:0.0195895824581384:-0.0152825200930237:0.0073210219852626:0.0:0.0:-0.0059459847398102,0.0758173987269401:-0.0076996735297143:0.0:0.02724589407444:-0.0532545670866966:-0.0271397549659013:-0.0165016110986471:-0.0191464237868785:0.0506871081888675:-0.0054902983829379:-0.0552934259176254:0.1028269231319427,0.0107121877372264:-0.0064526298083364:0.0237294770777225:0.0:0.0408043414354324:-0.0302875861525535:-0.0175207406282424:0.0014167563058435:0.03211410343647:-0.002604184905067:-0.0554621145129203,-0.0424223765730857:0.0483261048793792:-0.0396692790091037:0.0297151040285825:0.0131490863859653:0.0:0.0041562626138329:0.0:-0.020448263734579:0.0:-0.0100398939102888,0.0743233636021614:0.0102082267403602:0.040317103266716:-0.0173616409301757:0.0655888170003891:-0.0389132611453533:-0.0557659938931465:0.0277200452983379:-0.0354295819997787:0.0,-0.0149253718554973:0.0398493632674217:0.033625915646553:0.0:-0.0388020426034927:0.0:-0.0196538865566253:-0.0178131312131881:0.0002693189308047:0.012627862393856:0.0126063972711563:0.0634059235453605:-0.0594988614320755,-0.0081180743873119:0.0125129567459225:0.017861321568489:-0.016575064510107:0.0454867519438266:0.0341416895389556:0.0134142506867647:0.0338011346757411:0.0334979742765426:0.0:-0.0237041264772415:0.0060715461149811:-0.0080689564347267:0.0:-0.0106150712817907,0.0:0.0:0.0117187434807419:0.0:0.0:0.0096425777301192:-0.0022881771437823:-0.0002376926131546:0.0011564777232706:0.0152143677696585:0.0273518841713666:0.0:-0.000359842000762,0.1154908537864685:0.0:0.1181103885173797:0.0366369485855102:-0.1319858133792877:-0.0802839323878288:0.0:0.0464778020977973:0.0:0.0:-0.0167560148984193,0.0049002887681126:-0.075476087629795:-0.0437232926487922:-0.0471219830214977:-0.0036904080770909:0.0:0.0143014956265687:0.0:0.0280149783939123:0.0:-0.0057308063842356,0.0:-0.0132450331002473:0.0123446714133024:0.0144594050943851:0.0045602284371852:0.0302447006106376:0.0003448692150413:0.0153163243085145:0.0071055297739803:0.0052035679109394,-0.000648712622933:0.0281597971916198:0.0126531850546598:0.0462532080709934:0.0312809646129608:0.0:-0.0103254923596978:-0.0166653543710708:-0.0150602664798498:-0.0153913395479321,-0.0150602664798498:-0.0153913395479321:-0.0001728801871649:0.0:0.0:0.0337986648082733:0.0176771935075521:-0.0128334369510412:-0.0107494052499532:0.0248790029436349,0.0353313535451889:0.0758173987269401:-0.0076996735297143:0.0:0.02724589407444:-0.0532545670866966:-0.0271397549659013:-0.0165016110986471:-0.0191464237868785:0.0506871081888675:-0.0054902983829379:-0.0552934259176254:0.1028269231319427,0.0:0.0081135751679539:-0.0299868080765008:-0.0188260190188884:0.0195895824581384:-0.0152825200930237:0.0073210219852626:0.0:0.0:-0.0059459847398102:0.0:0.0010526680853217:0.0:-0.0032114922069013:-0.0033140326850116,0.0:0.0048677623271942:-0.006705064792186:0.008685914799571:0.0:-0.0074313590303063:-0.0149041470140218:0.0020091771148145:0.0111289173364639:0.0:0.0015084752812981:-0.0274650081992149:-0.0210409145802259
0.193800538778305:-0.1236623525619506:0.0:0.0591468214988708:0.0:0.0217946954071521:0.0:-0.0237894020974636:-0.0419267676770687:-0.0904595926403999:0.2339758872985839,0.1332550793886184:-0.5330692529678345:0.0614476725459098:-0.0254472345113754:0.1804088950157165:-0.0190473441034555:0.0335723236203193:0.1357491910457611:0.0983504429459571:-0.2084515541791916:-0.0472517907619476,0.0:0.0210549645125865:0.0923931747674942:0.0399535186588764:-0.1614171117544174:-0.0230843760073184:0.0:0.006592322140932:0.0:0.0:0.0687533542513847,0.0840403884649276:-0.209498792886734:0.0:0.0:0.0556550920009613:-0.0450494661927223:-0.0362145379185676:-0.0191621482372283:-0.1190045326948165:0.0134451109915971,0.0058099748566746:0.0:-0.000491764920298:0.0:0.0048508616164326:0.0028155043255537:0.005064130295068:0.0:-0.0013788791839033:0.0015555183636024:-0.0001174652352347:-0.0006750037427991:-0.0009945202618837:-9.142326598521322e-05:0.0002350151917198,0.0087998397648334:-0.0146664353087544:0.0273963026702404:-0.0143075212836265:-0.0192806683480739:0.0153727093711495:0.0:0.019457958638668:0.0134053584188222:0.0:0.0019966508261859:-0.012549914419651,0.0685514956712722:-0.0465255342423915:0.0:-0.0333753563463687:0.0344970822334289:0.0800265967845916:0.0:-0.0025859847664833:0.0:-0.018948495388031:0.0,0.0:-0.002641802188009:0.0888655036687851:-0.0770917385816574:0.0:0.0797560065984726:-0.0015305187553167:0.0043681394308805:0.0425625778734684:0.0019631790928542:0.0058752782642841,-0.0113413957878947:-0.0029293010011315:0.0145044606178998:0.0240311399102211:-0.0008709752000868:0.0045768050476908:0.0096668023616075:0.0138025553897023:0.003760574851185:0.0034343863371759,0.0:0.0:0.0556550920009613:-0.0450494661927223:-0.0362145379185676:-0.0191621482372283:-0.1190045326948165:0.0134451109915971:-0.1542794555425644:0.0:0.0613663755357265:0.1867768764495849:-0.059933565557003,0.0725320428609848:0.0024545406922698:0.0:0.019433019682765:-0.0022684321738779:0.0:-0.0084095662459731:0.0074975090101361:-0.0190855748951435:0.0211518164724111:0.0200204588472843:0.0698255971074104:0.0:-0.0206592679023742:0.0,-0.0019932468421757:-0.002089375630021:0.0032778498716652:-0.0020279118325561:-0.0048417686484754:0.0025026982184499:-0.0098727485164999:0.0088782925158739:0.0102935377508401:-0.0048526688478887:0.0088336141780018:0.0160618126392364:-0.0045935306698083,-0.0028408251237124:-0.0024504866451025:0.0:-0.002032573800534:0.0:0.0:0.0058099748566746:0.0:-0.000491764920298:0.0:0.0048508616164326,0.0068050175905227:0.0089124049991369:0.0012366384034976:0.0:0.0025826045311987:-0.002309716772288:0.0:0.0022195477504283:-0.0039298757910728:0.0:-0.0053290845826268,0.0133517980575561:0.1633308678865432:0.193800538778305:-0.1236623525619506:0.0:0.0591468214988708:0.0:0.0217946954071521:0.0:-0.0237894020974636,0.1478779464960098:0.0:0.1306890845298767:0.1332550793886184:-0.5330692529678345:0.0614476725459098:-0.0254472345113754:0.1804088950157165:-0.0190473441034555:0.0335723236203193,-0.0190473441034555:0.0335723236203193:0.1357491910457611:0.0983504429459571:-0.2084515541791916:-0.0472517907619476:-0.0217379350215196:0.095193974673748:0.0230508763343095:-0.0303455926477909,0.0153401158750057:0.0087998397648334:-0.0146664353087544:0.0273963026702404:-0.0143075212836265:-0.0192806683480739:0.0153727093711495:0.0:0.019457958638668:0.0134053584188222:0.0:0.0019966508261859:-0.012549914419651,0.0028155043255537:0.005064130295068:0.0:-0.0013788791839033:0.0015555183636024:-0.0001174652352347:-0.0006750037427991:-0.0009945202618837:-9.142326598521322e-05:0.0002350151917198:0.0:-9.246723493561148e-07:-0.0001114794577006:-0.0001766475324984:6.153874710435048e-05,0.0399535186588764:-0.1614171117544174:-0.0230843760073184:0.0:0.006592322140932:0.0:0.0:0.0687533542513847:0.0343859158456325:0.0509992390871048:0.0316473543643951:-0.0492197386920452:0.0019210730679333
9.99821349978447e-05:-0.0010602776892483:-0.0079196598380804:0.0:0.0015032901428639:-0.0055037476122379:0.0:0.0165544934570789:0.0:0.0:0.0033857924863696,0.0001078239947673:0.0:0.0:0.0:-0.0025111273862421:0.0:0.0012117472942918:0.0007167807780206:0.0:0.0:-0.0033365667331963,-0.0014238574076443:0.0:-0.0003102614427916:-0.0044621918350458:0.001222986029461:-0.0032022884115576:-0.0005660456954501:-0.0001076615299098:0.0054393834434449:0.0028452649712562:-0.0047569340094923,-0.0003909787337761:-0.0009260819060727:0.0:-0.0002184887998737:-0.0027389032766222:-0.001851379754953:0.0022915580775588:0.0015449763741344:0.0:0.0009348355815745,-0.0046353437937796:-0.0007663664291612:0.0002203532785642:0.0022084098309278:0.0010584467090666:0.0035306410863995:-0.0016378813888877:0.00130326137878:-0.0005338987102732:-0.0009875402320176:0.0012308998266234:0.0014858690556138:0.0002159631840186:0.0002074935036944:-0.0008309424156323,-0.0007341126911342:-0.0006615094607695:-2.4548848159611225e-05:-0.0008482675766572:0.0003998568281531:-0.0005879966774955:0.0028342159930616:-0.0003301203250885:-0.0012564775533974:0.0:0.0:0.0,0.0040969527326524:0.0:0.0070727234706282:-0.0008418740471825:-0.001582110999152:0.0031322562135756:-0.0014558321563526:0.0:-0.0045095607638359:0.0007276914548128:0.0,0.0019101302605122:0.002379638608545:0.0014021524693816:-0.006466818973422:-0.0008661402389407:-0.0052661024965345:0.0022994668688625:0.0002776226610876:0.0:0.0027195895090699:0.0,0.0025600898079574:0.0015325380954891:-0.0029845915269106:0.0001979815424419:0.0:0.0003106968943029:0.0013516389299184:0.0033957781270146:-0.0048150196671485:-0.000218475528527,0.0:-0.0002184887998737:-0.0027389032766222:-0.001851379754953:0.0022915580775588:0.0015449763741344:0.0:0.0009348355815745:0.0034385076723992:0.0:0.0036510517820715:-0.0032317619770765:0.0028991119470447,-1.5668600099161267e-05:0.0007209678879007:-0.0013380669988691:0.0:0.0006233200547285:0.0009713754989206:0.0003330878680571:-0.0007366650970652:0.0:-0.0005313991568982:0.0008494537323713:-0.0008830846054479:0.0023105659056454:0.0:0.0036795230116695,0.0:-0.000539731234312:-0.000898930360563:-0.0008857908542267:-0.0001893237640615:0.0001374981802655:0.0011878727236762:-9.99348849290982e-05:0.0:-0.0010237832320854:-0.0011777605395764:0.0:-0.0003059295413549,-4.7953566536307335e-05:0.0023099463433027:0.0:0.0:0.0010907148243859:-0.0039754612371325:-0.0046353437937796:-0.0007663664291612:0.0002203532785642:0.0022084098309278:0.0010584467090666,-0.0015259322244673:-0.000842300534714:-0.0001023156146402:0.0:0.0013199937529861:-0.000635395583231:-8.008646545931697e-05:-0.0010651955381035:0.0:0.0032996267545968:0.0,-0.0022056957241147:-0.0009245327673852:9.99821349978447e-05:-0.0010602776892483:-0.0079196598380804:0.0:0.0015032901428639:-0.0055037476122379:0.0:0.0165544934570789,0.0:0.0002983760205097:-0.0004045829700771:0.0001078239947673:0.0:0.0:0.0:-0.0025111273862421:0.0:0.0012117472942918,0.0:0.0012117472942918:0.0007167807780206:0.0:0.0:-0.0033365667331963:0.0:0.0006789973704144:-0.0016742189181968:-0.0030299380887299,-0.0008540353155694:-0.0007341126911342:-0.0006615094607695:-2.4548848159611225e-05:-0.0008482675766572:0.0003998568281531:-0.0005879966774955:0.0028342159930616:-0.0003301203250885:-0.0012564775533974:0.0:0.0:0.0,0.0035306410863995:-0.0016378813888877:0.00130326137878:-0.0005338987102732:-0.0009875402320176:0.0012308998266234:0.0014858690556138:0.0002159631840186:0.0002074935036944:-0.0008309424156323:-0.000422484066803:0.0003979242464993:-1.4519522665068507e-05:0.0:-0.0002004792913794,-0.0044621918350458:0.001222986029461:-0.0032022884115576:-0.0005660456954501:-0.0001076615299098:0.0054393834434449:0.0028452649712562:-0.0047569340094923:0.0002695702714845:-9.828576003201306e-05:-0.0003491635143291:0.0055864891037344:-0.0020232461392879
0.0:0.000920922961086:0.0:0.0:-0.0194767657667398:0.0:-0.0079805180430412:0.0093320393934845:0.0:0.0562590211629867:-0.0340686440467834,-0.00365702342242:-0.0035704812034964:-0.0009149631368927:0.0:0.0018651254940778:0.0:0.0038879583589732:-0.0171742551028728:-0.0025238087400794:-0.0055908886715769:0.0022209484595805,-0.0175559781491756:-0.0010286578908562:-0.0062224133871495:0.0061065386980772:-0.0104682091623544:0.0103988200426101:-0.0116875199601054:-0.0018424144946038:0.0:0.0:0.0314850099384784,-0.0069140829145908:0.0042296764440834:-0.0014349287375807:0.0066826534457504:0.0025188084691762:-0.0040552490390837:-0.0029711094684898:0.0085454918444156:-0.0135668162256479:0.0127455350011587,0.001107508316636:0.0009751195902936:0.0004907903494313:-1.5447822079295292e-05:0.0003167169052176:-0.0001330236118519:-0.0001507477281847:-0.0003834364179056:-0.0002068900212179:-0.000576855323743:-2.2738675397704355e-05:0.0:-3.614771776483394e-05:0.0:-2.246237636427395e-05,-0.0052255578339099:0.0185314677655696:1.867290120571852e-05:-0.0077937729656696:0.0:0.0171988010406494:0.0138272149488329:-0.0102264592424035:-0.0194027703255414:0.0050929235294461:0.0:0.0041310377418994,0.001802232931368:-0.0112879006192088:-0.0081295641139149:-0.0086960513144731:0.0363551639020442:0.0433277636766433:-0.0117861619219183:-0.0238736271858215:-0.0061377389356493:0.0:0.0065242042765021,0.0130925849080085:0.0185565240681171:0.0:-0.0102316457778215:-0.0004825205542147:0.0118442876264452:-0.0110757686197757:0.0:-0.0125329084694385:-0.0213606711477041:-0.0020876100752502,0.0009249118156731:0.0:-0.0006159637705422:0.0004289481439627:0.0:0.0:0.0:0.0020163040608167:0.0014779529301449:-0.0012361434055492,-0.0014349287375807:0.0066826534457504:0.0025188084691762:-0.0040552490390837:-0.0029711094684898:0.0085454918444156:-0.0135668162256479:0.0127455350011587:0.0:-0.014468552544713:0.0015776978107169:0.0099701676517724:0.0,0.0035796554293483:0.0008504994912073:0.0011673729168251:-0.0018921063747256:-1.7002297681756318e-05:-0.0018572607077658:-0.0005489068571478:-0.0018276448827236:0.003791463561356:0.0:-0.0020313735585659:0.0017085938015952:-0.004482686985284:-0.0061865709722042:0.0014263958437368,-0.0004014470032416:0.0010249849874526:0.0005703520728275:0.0010146118002012:0.0:-0.0016313765663653:-0.0010498587507754:-0.0005468484014272:-0.0004282635636627:-0.0034254372585564:-0.0017382374498993:0.0005078692920506:-0.0010256324894726,0.0003523538471199:0.0005017046350985:-0.0004055660392623:0.0005256918957456:0.0002951119677163:-0.0020169818308204:0.001107508316636:0.0009751195902936:0.0004907903494313:-1.5447822079295292e-05:0.0003167169052176,0.0029310612007975:-0.0003648962883744:0.0006895841797813:-0.0008577016997151:0.0010958685306832:-0.0010539281647652:0.0:0.0:0.0017059912206605:-0.0012327216099947:0.0011562585132196,-0.0008683586493134:0.0081443106755614:0.0:0.000920922961086:0.0:0.0:-0.0194767657667398:0.0:-0.0079805180430412:0.0093320393934845,-0.0273083038628101:0.0052118571475148:0.009553138166666:-0.00365702342242:-0.0035704812034964:-0.0009149631368927:0.0:0.0018651254940778:0.0:0.0038879583589732,0.0:0.0038879583589732:-0.0171742551028728:-0.0025238087400794:-0.0055908886715769:0.0022209484595805:-0.0117735313251614:0.0040421215817332:0.0017105346778407:0.0,-0.0020905118435621:-0.0052255578339099:0.0185314677655696:1.867290120571852e-05:-0.0077937729656696:0.0:0.0171988010406494:0.0138272149488329:-0.0102264592424035:-0.0194027703255414:0.0050929235294461:0.0:0.0041310377418994,-0.0001330236118519:-0.0001507477281847:-0.0003834364179056:-0.0002068900212179:-0.000576855323743:-2.2738675397704355e-05:0.0:-3.614771776483394e-05:0.0:-2.246237636427395e-05:-0.0001633631763979:8.143598824972287e-05:1.6480827980558388e-05:1.1529532457643654e-05:5.633328328258358e-06,0.0061065386980772:-0.0104682091623544:0.0103988200426101:-0.0116875199601054:-0.0018424144946038:0.0:0.0:0.0314850099384784:0.0028499537147581:-0.0362220406532287:-0.0392337441444397:-0.0708907768130302:0.049902681261301
0.0:0.0:-0.1954367309808731:0.4139344096183777:0.3037430942058563:-0.033059224486351:-0.1836021542549133:-0.1016879677772522:-0.026034066453576:0.0673346891999244:0.0,0.0:0.0329293757677078:0.0:0.0012953216210007:0.0023014349862933:-0.0127647221088409:0.0:0.0:0.0354005917906761:-0.0794113129377365:-0.1961222738027572,0.0:0.0087704882025718:0.0441484227776527:-0.0453585758805274:0.105278342962265:-0.0451122820377349:0.0340908356010913:0.0050847837701439:-0.0881782174110412:0.0:-0.044125996530056,0.0317565985023975:-0.0477868914604187:-0.0164594147354364:0.0216397680342197:0.0049472767859697:-0.0192462112754583:0.092198945581913:0.0164559483528137:0.0181734599173069:0.0519522167742252,0.0429794527590274:0.0:0.046556644141674:0.0099585577845573:0.0344790071249008:0.0194189772009849:0.0:-0.0184022020548582:-0.0159945841878652:-0.0330732129514217:-0.0596229210495948:0.0065708458423614:0.0002985866740345:-0.0067608160898089:-0.0022161677479743,0.0052160243503749:-0.0008069144096225:0.0180485323071479:0.0:-0.0169608425348997:0.0262649171054363:-0.0062133339233696:0.0:0.0:0.0:0.0:0.002002069260925,0.0577646233141422:0.0:0.0:0.0:-0.0141375549137592:-0.1001264899969101:0.1167331263422966:-0.0730669125914573:-0.0230367872864007:0.2000148445367813:0.0526113025844097,-0.0349350944161415:-0.0314395688474178:0.0:0.0173258334398269:0.0486686639487743:-0.012614463455975:0.0042335451580584:0.0057793986052274:-0.0104063469916582:-0.0359023995697498:0.0,0.0016120951622724:-0.0723423510789871:0.0578398406505584:0.0925287455320358:0.1734730303287506:-0.0070612160488963:-0.0367636233568191:-0.019206054508686:0.1678074300289154:0.0568625703454017,-0.0164594147354364:0.0216397680342197:0.0049472767859697:-0.0192462112754583:0.092198945581913:0.0164559483528137:0.0181734599173069:0.0519522167742252:-0.0099110761657357:-0.0508070513606071:-0.0084961662068963:-0.0212607644498348:-0.005577060393989,0.0366549603641033:-0.0235299076884984:0.0049777384847402:-0.0043427194468677:-0.0004850546247325:0.0265160612761974:0.0280400533229112:-0.0381056368350982:-0.0071925818920135:0.0:0.0:-0.0080873556435108:-0.0374549478292465:-0.0156309101730585:0.0103093143552541,0.001298835966736:-0.0030231769196689:-0.0017586837057024:0.0001037652691593:0.0005022235563956:0.0:0.0006867215852253:0.0:0.0042631020769476:-0.0001506640692241:0.0004290746292099:-0.0048069786280393:0.0,-0.0307641383260488:-0.0263322070240974:0.0491238087415695:0.0793136358261108:0.0:0.0601208731532096:0.0429794527590274:0.0:0.046556644141674:0.0099585577845573:0.0344790071249008,0.0:-0.0040586357936263:-0.004861363209784:0.0:-0.0027038773987442:-0.0021261719521135:0.0052595273591578:-0.0099254501983523:-0.0042688413523137:-0.0055786026641726:0.0248346533626317,0.0:-0.2060557454824447:0.0:0.0:-0.1954367309808731:0.4139344096183777:0.3037430942058563:-0.033059224486351:-0.1836021542549133:-0.1016879677772522,0.0:0.0713133141398429:0.0:0.0:0.0329293757677078:0.0:0.0012953216210007:0.0023014349862933:-0.0127647221088409:0.0,-0.0127647221088409:0.0:0.0:0.0354005917906761:-0.0794113129377365:-0.1961222738027572:-0.0527859069406986:0.1491574794054031:0.0362315624952316:-0.0655970722436904,0.0072481082752346:0.0052160243503749:-0.0008069144096225:0.0180485323071479:0.0:-0.0169608425348997:0.0262649171054363:-0.0062133339233696:0.0:0.0:0.0:0.0:0.002002069260925,0.0194189772009849:0.0:-0.0184022020548582:-0.0159945841878652:-0.0330732129514217:-0.0596229210495948:0.0065708458423614:0.0002985866740345:-0.0067608160898089:-0.0022161677479743:0.010191848501563:0.0196756478399038:-0.0032388851977884:0.0:0.0,-0.0453585758805274:0.105278342962265:-0.0451122820377349:0.0340908356010913:0.0050847837701439:-0.0881782174110412:0.0:-0.044125996530056:-0.0229095444083213:-0.0174697171896696:0.0:0.1555933505296707:0.0207426287233829
0.0209533683955669:0.0008270152611657:0.0029841575305908:0.0037996985483914:6.575864972546697e-07:-0.0061939433217048:0.0035188610199838:-0.0050190179608762:0.0:-0.0049448395147919:-0.0051843337714672,0.0:0.0:0.0038272915408015:0.0:-0.0083371326327323:0.0:-0.0035706874914467:0.0:0.0052731023170053:-0.0099765509366989:-0.0089873205870389,-0.0033601366449147:0.0046104826033115:0.0070499046705663:0.0008213716791942:-0.0080635761842131:-0.0003941449394915:0.0:-0.0134638203307986:-0.0012140246108174:0.0:0.0022643993142992,0.0:0.002632055664435:0.0014572301879525:-0.0029533775523304:-0.0011039811652153:0.000252363475738:-0.0056120292283594:-0.0001053977466654:-0.0030027404427528:0.0032776007428765,-0.0008668664959259:0.0:0.0002134729002136:0.0009833606891334:0.0016292523359879:0.0007350582745857:-0.0003791845811065:-3.3123396860901266e-05:-0.0003206863766536:0.0:0.0:0.0:0.0007508172420784:-1.9844519556500018e-06:-0.0002327448455616,0.0051475893706083:0.0046477215364575:-0.0012892611557617:-0.0009109292295761:0.0:0.0:0.0:0.0034923970233649:0.0020157620310783:0.0:0.0:0.0,-0.007544077001512:0.0:0.0:0.0:0.0:-0.0061587425880134:0.0:0.0094174612313508:-0.0019775717519223:0.0047156903892755:-0.0077847074717283,0.0:0.0015633922303095:0.0:0.0:0.0024618206080049:0.0:0.0:0.0067045791074633:0.0006656619952991:0.0008186541963368:-0.0011828257702291,0.0069529567845165:0.0054413178004324:0.0001378208398818:0.0024409180041402:-0.0063257697038352:-0.0007710221107117:0.0006285493145696:-0.0013961157528683:-0.0004764765035361:0.0017742075724527,0.0014572301879525:-0.0029533775523304:-0.0011039811652153:0.000252363475738:-0.0056120292283594:-0.0001053977466654:-0.0030027404427528:0.0032776007428765:0.0034938789904117:0.0036836129147559:-0.0001985090202651:0.0:0.0001373674749629,0.0075543504208326:-0.0115490667521953:-0.006681331899017:-0.0013672044733539:0.0044480813667178:-0.0047409022226929:0.0:-0.0044590630568563:0.0063672997057437:0.0:0.0026964461430907:-0.0097609525546431:0.0060487375594675:0.0:0.0013332687085494,0.0:0.0:0.0004636888043023:0.000206835597055:0.0071850498206913:0.0082544721662998:-0.0006341519765555:0.003567790845409:0.0:0.0:0.0032943885307759:0.0004285056493245:0.0007737869746051,0.0:3.305454447399825e-05:0.0:-0.0003958000161219:-0.0005428080330602:0.0017281328327953:-0.0008668664959259:0.0:0.0002134729002136:0.0009833606891334:0.0016292523359879,-0.0025970940478146:-0.0046851388178765:0.0:0.0147537989541888:0.0139871407300233:-0.0009460693690925:0.0021323855035007:-0.0062086498364806:-0.0066152913495898:-0.0104772895574569:0.0051410524174571,0.0064119920134544:0.0157827157527208:0.0209533683955669:0.0008270152611657:0.0029841575305908:0.0037996985483914:6.575864972546697e-07:-0.0061939433217048:0.0035188610199838:-0.0050190179608762,-0.0036524669267237:0.0:0.0037767293397337:0.0:0.0:0.0038272915408015:0.0:-0.0083371326327323:0.0:-0.0035706874914467,0.0:-0.0035706874914467:0.0:0.0052731023170053:-0.0099765509366989:-0.0089873205870389:-0.0031932513229548:0.0005421405658125:0.0161048416048288:0.0,-0.0011983930598944:0.0051475893706083:0.0046477215364575:-0.0012892611557617:-0.0009109292295761:0.0:0.0:0.0:0.0034923970233649:0.0020157620310783:0.0:0.0:0.0,0.0007350582745857:-0.0003791845811065:-3.3123396860901266e-05:-0.0003206863766536:0.0:0.0:0.0:0.0007508172420784:-1.9844519556500018e-06:-0.0002327448455616:-0.0001813132257666:-0.0002084025763906:-0.0001325314806308:0.0001396875886712:7.516874029533938e-05,0.0008213716791942:-0.0080635761842131:-0.0003941449394915:0.0:-0.0134638203307986:-0.0012140246108174:0.0:0.0022643993142992:0.0:0.0:-0.0001951204612851:-0.0012294850312173:0.0020441378001123
